,name,gain_1,gain_2,gain_3,gain_4,gain_5,gain_6,gain_7,gain_8,gain_9,gain_10
0,synthetic_tone.wav,0.0,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0.9,1.0
1,Pikachu(1).wav,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0
2,1k.wav,2.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
